path	enum
[].Physiology and metabolism.API 20E.[].OF-F	XylEnum
[].Physiology and metabolism.API 20NE.URE	XylEnum
[].Physiology and metabolism.API 20NE.PAC	XylEnum
[].Physiology and metabolism.API 20NE.NAG	XylEnum
[].Physiology and metabolism.API 20NE.MNE	XylEnum
[].Physiology and metabolism.API 20NE.MLT	XylEnum
[].Physiology and metabolism.API 20NE.MAN	XylEnum
[].Physiology and metabolism.API 20NE.MAL	XylEnum
[].Physiology and metabolism.API 20NE.GNT	XylEnum
[].Physiology and metabolism.API 20NE.GLU_ Ferm	XylEnum
[].Physiology and metabolism.API 20NE.GEL	XylEnum
[].Physiology and metabolism.API 20NE.ESC	XylEnum
[].Physiology and metabolism.API 20NE.CIT	XylEnum
[].Physiology and metabolism.API 20NE.CAP	XylEnum
[].Physiology and metabolism.API 20NE.ARA	XylEnum
[].Physiology and metabolism.API 20NE.ADI	XylEnum
[].Physiology and metabolism.API 20NE.ADH Arg	XylEnum
[].Physiology and metabolism.API 20NE.PNPG	XylEnum
[].Physiology and metabolism.API 20NE.TRP	XylEnum
[].Physiology and metabolism.API 20NE.GLU_ Assim	XylEnum
[].Physiology and metabolism.API 20NE.NO3	XylEnum
[].Physiology and metabolism.API 20NE.OX	XylEnum
[].Physiology and metabolism.API 20NE.[].PAC	XylEnum
[].Physiology and metabolism.API 20NE.[].MNE	XylEnum
[].Physiology and metabolism.API 20NE.[].MLT	XylEnum
[].Physiology and metabolism.API 20NE.[].GNT	XylEnum
[].Physiology and metabolism.API 20NE.[].GLU_ Ferm	XylEnum
[].Physiology and metabolism.API 20NE.[].GLU_ Assim	XylEnum
[].Physiology and metabolism.API 20NE.[].GEL	XylEnum
[].Physiology and metabolism.API 20NE.[].ESC	XylEnum
[].Physiology and metabolism.API 20NE.[].CIT	XylEnum
[].Physiology and metabolism.API 20NE.[].CAP	XylEnum
[].Physiology and metabolism.API 20NE.[].ARA	XylEnum
[].Physiology and metabolism.API 20NE.[].ADI	XylEnum
[].Physiology and metabolism.API 20NE.[].URE	XylEnum
[].Physiology and metabolism.API 20NE.[].TRP	XylEnum
[].Physiology and metabolism.API 20NE.[].PNPG	XylEnum
[].Physiology and metabolism.API 20NE.[].NAG	XylEnum
[].Physiology and metabolism.API 20NE.[].MAN	XylEnum
[].Physiology and metabolism.API 20NE.[].MAL	XylEnum
[].Physiology and metabolism.API 20NE.[].NO3	XylEnum
[].Physiology and metabolism.API 20NE.[].ADH Arg	XylEnum
[].Physiology and metabolism.API 20NE.[].OX	XylEnum
[].Physiology and metabolism.API 20STR.VP	XylEnum
[].Physiology and metabolism.API 20STR.TRE	XylEnum
[].Physiology and metabolism.API 20STR.SOR	XylEnum
[].Physiology and metabolism.API 20STR.RIB	XylEnum
[].Physiology and metabolism.API 20STR.RAF	XylEnum
[].Physiology and metabolism.API 20STR.PYRA	XylEnum
[].Physiology and metabolism.API 20STR.PAL	XylEnum
[].Physiology and metabolism.API 20STR.MAN	XylEnum
[].Physiology and metabolism.API 20STR.LAP	XylEnum
[].Physiology and metabolism.API 20STR.LAC	XylEnum
[].Physiology and metabolism.API 20STR.INU	XylEnum
[].Physiology and metabolism.API 20STR.HIP	XylEnum
[].Physiology and metabolism.API 20STR.GLYG	XylEnum
[].Physiology and metabolism.API 20STR.ESC	XylEnum
[].Physiology and metabolism.API 20STR.beta GUR	XylEnum
[].Physiology and metabolism.API 20STR.beta GAL	XylEnum
[].Physiology and metabolism.API 20STR.ARA	XylEnum
[].Physiology and metabolism.API 20STR.AMD	XylEnum
[].Physiology and metabolism.API 20STR.alpha GAL	XylEnum
[].Physiology and metabolism.API 20STR.ADH	XylEnum
[].Physiology and metabolism.API 20STR.beta HEM	XylEnum
[].Physiology and metabolism.API 20STR.[].VP	XylEnum
[].Physiology and metabolism.API 20STR.[].TRE	XylEnum
[].Physiology and metabolism.API 20STR.[].SOR	XylEnum
[].Physiology and metabolism.API 20STR.[].RIB	XylEnum
[].Physiology and metabolism.API 20STR.[].RAF	XylEnum
[].Physiology and metabolism.API 20STR.[].PYRA	XylEnum
[].Physiology and metabolism.API 20STR.[].PAL	XylEnum
[].Physiology and metabolism.API 20STR.[].MAN	XylEnum
[].Physiology and metabolism.API 20STR.[].LAP	XylEnum
[].Physiology and metabolism.API 20STR.[].LAC	XylEnum
[].Physiology and metabolism.API 20STR.[].INU	XylEnum
[].Physiology and metabolism.API 20STR.[].HIP	XylEnum
[].Physiology and metabolism.API 20STR.[].GLYG	XylEnum
[].Physiology and metabolism.API 20STR.[].ESC	XylEnum
[].Physiology and metabolism.API 20STR.[].beta GUR	XylEnum
[].Physiology and metabolism.API 20STR.[].beta GAL	XylEnum
[].Physiology and metabolism.API 20STR.[].ARA	XylEnum
[].Physiology and metabolism.API 20STR.[].AMD	XylEnum
[].Physiology and metabolism.API 20STR.[].alpha GAL	XylEnum
[].Physiology and metabolism.API 20STR.[].ADH	XylEnum
[].Physiology and metabolism.API 20STR.[].beta HEM	XylEnum
[].Physiology and metabolism.API 50CHac.XLT	XylEnum
[].Physiology and metabolism.API 50CHac.TUR	XylEnum
[].Physiology and metabolism.API 50CHac.TRE	XylEnum
[].Physiology and metabolism.API 50CHac.TAG	XylEnum
[].Physiology and metabolism.API 50CHac.SOR	XylEnum
[].Physiology and metabolism.API 50CHac.SBE	XylEnum
[].Physiology and metabolism.API 50CHac.SAL	XylEnum
[].Physiology and metabolism.API 50CHac.RHA	XylEnum
[].Physiology and metabolism.API 50CHac.RAF	XylEnum
[].Physiology and metabolism.API 50CHac.NAG	XylEnum
[].Physiology and metabolism.API 50CHac.MNE	XylEnum
[].Physiology and metabolism.API 50CHac.MLZ	XylEnum
[].Physiology and metabolism.API 50CHac.MEL	XylEnum
[].Physiology and metabolism.API 50CHac.MDX	XylEnum
[].Physiology and metabolism.API 50CHac.MDM	XylEnum
[].Physiology and metabolism.API 50CHac.MDG	XylEnum
[].Physiology and metabolism.API 50CHac.MAN	XylEnum
[].Physiology and metabolism.API 50CHac.MAL	XylEnum
[].Physiology and metabolism.API 50CHac.LYX	XylEnum
[].Physiology and metabolism.API 50CHac.LXYL	XylEnum
[].Physiology and metabolism.API 50CHac.LFUC	XylEnum
[].Physiology and metabolism.API 50CHac.LARL	XylEnum
[].Physiology and metabolism.API 50CHac.LARA	XylEnum
[].Physiology and metabolism.API 50CHac.LAC	XylEnum
[].Physiology and metabolism.API 50CHac.INU	XylEnum
[].Physiology and metabolism.API 50CHac.INO	XylEnum
[].Physiology and metabolism.API 50CHac.GNT	XylEnum
[].Physiology and metabolism.API 50CHac.GLYG	XylEnum
[].Physiology and metabolism.API 50CHac.GLY	XylEnum
[].Physiology and metabolism.API 50CHac.GLU	XylEnum
[].Physiology and metabolism.API 50CHac.GAL	XylEnum
[].Physiology and metabolism.API 50CHac.FRU	XylEnum
[].Physiology and metabolism.API 50CHac.ESC	XylEnum
[].Physiology and metabolism.API 50CHac.ERY	XylEnum
[].Physiology and metabolism.API 50CHac.DXYL	XylEnum
[].Physiology and metabolism.API 50CHac.DUL	XylEnum
[].Physiology and metabolism.API 50CHac.DFUC	XylEnum
[].Physiology and metabolism.API 50CHac.DARL	XylEnum
[].Physiology and metabolism.API 50CHac.DARA	XylEnum
[].Physiology and metabolism.API 50CHac.CEL	XylEnum
[].Physiology and metabolism.API 50CHac.ARB	XylEnum
[].Physiology and metabolism.API 50CHac.AMY	XylEnum
[].Physiology and metabolism.API 50CHac.AMD	XylEnum
[].Physiology and metabolism.API 50CHac.ADO	XylEnum
[].Physiology and metabolism.API 50CHac.2KG	XylEnum
[].Physiology and metabolism.API 50CHac.SAC	XylEnum
[].Physiology and metabolism.API 50CHac.RIB	XylEnum
[].Physiology and metabolism.API 50CHac.GEN	XylEnum
[].Physiology and metabolism.API 50CHac.5KG	XylEnum
[].Physiology and metabolism.API 50CHac.Q	XylEnum
[].Physiology and metabolism.API 50CHac.[].XLT	XylEnum
[].Physiology and metabolism.API 50CHac.[].TUR	XylEnum
[].Physiology and metabolism.API 50CHac.[].TRE	XylEnum
[].Physiology and metabolism.API 50CHac.[].TAG	XylEnum
[].Physiology and metabolism.API 50CHac.[].SOR	XylEnum
[].Physiology and metabolism.API 50CHac.[].SBE	XylEnum
[].Physiology and metabolism.API 50CHac.[].SAL	XylEnum
[].Physiology and metabolism.API 50CHac.[].SAC	XylEnum
[].Physiology and metabolism.API 50CHac.[].RIB	XylEnum
[].Physiology and metabolism.API 50CHac.[].RHA	XylEnum
[].Physiology and metabolism.API 50CHac.[].RAF	XylEnum
[].Physiology and metabolism.API 50CHac.[].NAG	XylEnum
[].Physiology and metabolism.API 50CHac.[].MNE	XylEnum
[].Physiology and metabolism.API 50CHac.[].MLZ	XylEnum
[].Physiology and metabolism.API 50CHac.[].MEL	XylEnum
[].Physiology and metabolism.API 50CHac.[].MDX	XylEnum
[].Physiology and metabolism.API 50CHac.[].MDM	XylEnum
[].Physiology and metabolism.API 50CHac.[].MDG	XylEnum
[].Physiology and metabolism.API 50CHac.[].MAN	XylEnum
[].Physiology and metabolism.API 50CHac.[].MAL	XylEnum
[].Physiology and metabolism.API 50CHac.[].LYX	XylEnum
[].Physiology and metabolism.API 50CHac.[].LXYL	XylEnum
[].Physiology and metabolism.API 50CHac.[].LFUC	XylEnum
[].Physiology and metabolism.API 50CHac.[].LARL	XylEnum
[].Physiology and metabolism.API 50CHac.[].LARA	XylEnum
[].Physiology and metabolism.API 50CHac.[].LAC	XylEnum
[].Physiology and metabolism.API 50CHac.[].INU	XylEnum
[].Physiology and metabolism.API 50CHac.[].INO	XylEnum
[].Physiology and metabolism.API 50CHac.[].GLYG	XylEnum
[].Physiology and metabolism.API 50CHac.[].GLY	XylEnum
[].Physiology and metabolism.API 50CHac.[].GLU	XylEnum
[].Physiology and metabolism.API 50CHac.[].GEN	XylEnum
[].Physiology and metabolism.API 50CHac.[].GAL	XylEnum
[].Physiology and metabolism.API 50CHac.[].ESC	XylEnum
[].Physiology and metabolism.API 50CHac.[].ERY	XylEnum
[].Physiology and metabolism.API 50CHac.[].DXYL	XylEnum
[].Physiology and metabolism.API 50CHac.[].DUL	XylEnum
[].Physiology and metabolism.API 50CHac.[].DFUC	XylEnum
[].Physiology and metabolism.API 50CHac.[].DARL	XylEnum
[].Physiology and metabolism.API 50CHac.[].DARA	XylEnum
[].Physiology and metabolism.API 50CHac.[].CEL	XylEnum
[].Physiology and metabolism.API 50CHac.[].AMD	XylEnum
[].Physiology and metabolism.API 50CHac.[].ADO	XylEnum
[].Physiology and metabolism.API 50CHac.[].GNT	XylEnum
[].Physiology and metabolism.API 50CHac.[].FRU	XylEnum
[].Physiology and metabolism.API 50CHac.[].ARB	XylEnum
[].Physiology and metabolism.API 50CHac.[].AMY	XylEnum
[].Physiology and metabolism.API 50CHac.[].5KG	XylEnum
[].Physiology and metabolism.API 50CHac.[].2KG	XylEnum
[].Physiology and metabolism.API 50CHac.[].Q	XylEnum
[].Physiology and metabolism.API 50CHas.XLT	XltEnum
[].Physiology and metabolism.API 50CHas.TUR	XltEnum
[].Physiology and metabolism.API 50CHas.TRE	XltEnum
[].Physiology and metabolism.API 50CHas.TAG	XltEnum
[].Physiology and metabolism.API 50CHas.SOR	XltEnum
[].Physiology and metabolism.API 50CHas.SBE	XltEnum
[].Physiology and metabolism.API 50CHas.SAL	XltEnum
[].Physiology and metabolism.API 50CHas.SAC	XltEnum
[].Physiology and metabolism.API 50CHas.RIB	XltEnum
[].Physiology and metabolism.API 50CHas.RHA	XltEnum
[].Physiology and metabolism.API 50CHas.RAF	XltEnum
[].Physiology and metabolism.API 50CHas.Q	XltEnum
[].Physiology and metabolism.API 50CHas.NAG	XltEnum
[].Physiology and metabolism.API 50CHas.MNE	XltEnum
[].Physiology and metabolism.API 50CHas.MLZ	XltEnum
[].Physiology and metabolism.API 50CHas.MEL	XltEnum
[].Physiology and metabolism.API 50CHas.MDX	XltEnum
[].Physiology and metabolism.API 50CHas.MDM	XltEnum
[].Physiology and metabolism.API 50CHas.MDG	XltEnum
[].Physiology and metabolism.API 50CHas.MAN	XltEnum
[].Physiology and metabolism.API 50CHas.MAL	XltEnum
[].Physiology and metabolism.API 50CHas.LYX	XltEnum
[].Physiology and metabolism.API 50CHas.LXYL	XltEnum
[].Physiology and metabolism.API 50CHas.LFUC	XltEnum
[].Physiology and metabolism.API 50CHas.LARL	XltEnum
[].Physiology and metabolism.API 50CHas.LARA	XltEnum
[].Physiology and metabolism.API 50CHas.LAC	XltEnum
[].Physiology and metabolism.API 50CHas.INU	XltEnum
[].Physiology and metabolism.API 50CHas.INO	XltEnum
[].Physiology and metabolism.API 50CHas.GLYG	XltEnum
[].Physiology and metabolism.API 50CHas.GLY	XltEnum
[].Physiology and metabolism.API 50CHas.GLU	XltEnum
[].Physiology and metabolism.API 50CHas.GEN	XltEnum
[].Physiology and metabolism.API 50CHas.GAL	XltEnum
[].Physiology and metabolism.API 50CHas.FRU	XltEnum
[].Physiology and metabolism.API 50CHas.ESC	XltEnum
[].Physiology and metabolism.API 50CHas.ERY	XltEnum
[].Physiology and metabolism.API 50CHas.DXYL	XltEnum
[].Physiology and metabolism.API 50CHas.DUL	XltEnum
[].Physiology and metabolism.API 50CHas.DFUC	XltEnum
[].Physiology and metabolism.API 50CHas.DARL	XltEnum
[].Physiology and metabolism.API 50CHas.DARA	XltEnum
[].Physiology and metabolism.API 50CHas.CEL	XltEnum
[].Physiology and metabolism.API 50CHas.ARB	XltEnum
[].Physiology and metabolism.API 50CHas.AMY	XltEnum
[].Physiology and metabolism.API 50CHas.AMD	XltEnum
[].Physiology and metabolism.API 50CHas.ADO	XltEnum
[].Physiology and metabolism.API 50CHas.GNT	XltEnum
[].Physiology and metabolism.API 50CHas.5KG	XltEnum
[].Physiology and metabolism.API 50CHas.2KG	XltEnum
[].Physiology and metabolism.API CAM.TTC	XylEnum
[].Physiology and metabolism.API CAM.PYRA	XylEnum
[].Physiology and metabolism.API CAM.PAL	XylEnum
[].Physiology and metabolism.API CAM.GGT	XylEnum
[].Physiology and metabolism.API CAM.URE	XylEnum
[].Physiology and metabolism.API CAM.NIT	XylEnum
[].Physiology and metabolism.API CAM.HIP	XylEnum
[].Physiology and metabolism.API CAM.EST	XylEnum
[].Physiology and metabolism.API CAM.AspA	XylEnum
[].Physiology and metabolism.API CAM.ArgA	XylEnum
[].Physiology and metabolism.API CAM.SUT	XylEnum
[].Physiology and metabolism.API CAM.MLT	XylEnum
[].Physiology and metabolism.API CAM.H2S	XylEnum
[].Physiology and metabolism.API CAM.GLU	XylEnum
[].Physiology and metabolism.API CAM.CFZ	XylEnum
[].Physiology and metabolism.API CAM.PROP	XylEnum
[].Physiology and metabolism.API CAM.NAL	XylEnum
[].Physiology and metabolism.API CAM.ERO	XylEnum
[].Physiology and metabolism.API CAM.CIT	XylEnum
[].Physiology and metabolism.API CAM.ACE	XylEnum
[].Physiology and metabolism.API CAM.CAT	XylEnum
[].Physiology and metabolism.API CAM.[].URE	XylEnum
[].Physiology and metabolism.API CAM.[].PYRA	XylEnum
[].Physiology and metabolism.API CAM.[].PAL	XylEnum
[].Physiology and metabolism.API CAM.[].NIT	XylEnum
[].Physiology and metabolism.API CAM.[].GGT	XylEnum
[].Physiology and metabolism.API CAM.[].AspA	XylEnum
[].Physiology and metabolism.API CAM.[].ArgA	XylEnum
[].Physiology and metabolism.API CAM.[].TTC	XylEnum
[].Physiology and metabolism.API CAM.[].HIP	XylEnum
[].Physiology and metabolism.API CAM.[].EST	XylEnum
[].Physiology and metabolism.API CAM.[].H2S	XylEnum
[].Physiology and metabolism.API CAM.[].SUT	XylEnum
[].Physiology and metabolism.API CAM.[].PROP	XylEnum
[].Physiology and metabolism.API CAM.[].NAL	XylEnum
[].Physiology and metabolism.API CAM.[].MLT	XylEnum
[].Physiology and metabolism.API CAM.[].GLU	XylEnum
[].Physiology and metabolism.API CAM.[].ERO	XylEnum
[].Physiology and metabolism.API CAM.[].CIT	XylEnum
[].Physiology and metabolism.API CAM.[].CFZ	XylEnum
[].Physiology and metabolism.API CAM.[].ACE	XylEnum
[].Physiology and metabolism.API CAM.[].CAT	XylEnum
[].Physiology and metabolism.API ID32E.URE	XltEnum
[].Physiology and metabolism.API ID32E.TRE	XltEnum
[].Physiology and metabolism.API ID32E.SOR	XltEnum
[].Physiology and metabolism.API ID32E.SAC	XltEnum
[].Physiology and metabolism.API ID32E.RP	XltEnum
[].Physiology and metabolism.API ID32E.RHA	XltEnum
[].Physiology and metabolism.API ID32E.PLE	XltEnum
[].Physiology and metabolism.API ID32E.ODC	XltEnum
[].Physiology and metabolism.API ID32E.LDC Lys	XltEnum
[].Physiology and metabolism.API ID32E.LARL	XltEnum
[].Physiology and metabolism.API ID32E.LARA	XltEnum
[].Physiology and metabolism.API ID32E.INO	XltEnum
[].Physiology and metabolism.API ID32E.GLU	XltEnum
[].Physiology and metabolism.API ID32E.GAT	XltEnum
[].Physiology and metabolism.API ID32E.DARL	XltEnum
[].Physiology and metabolism.API ID32E.CEL	XltEnum
[].Physiology and metabolism.API ID32E.beta GUR	XltEnum
[].Physiology and metabolism.API ID32E.beta GLU	XltEnum
[].Physiology and metabolism.API ID32E.beta GAL	XltEnum
[].Physiology and metabolism.API ID32E.alphaMAL	XltEnum
[].Physiology and metabolism.API ID32E.alpha GAL	XltEnum
[].Physiology and metabolism.API ID32E.ADO	XltEnum
[].Physiology and metabolism.API ID32E.ADH Arg	XltEnum
[].Physiology and metabolism.API ID32E.5KG	XltEnum
[].Physiology and metabolism.API ID32E.MNT	XltEnum
[].Physiology and metabolism.API ID32E.MAL	XltEnum
[].Physiology and metabolism.API ID32E.alpha GLU	XltEnum
[].Physiology and metabolism.API ID32E.MAN	XltEnum
[].Physiology and metabolism.API ID32E.LIP	XltEnum
[].Physiology and metabolism.API ID32E.IND	XltEnum
[].Physiology and metabolism.API ID32E.beta NAG	XltEnum
[].Physiology and metabolism.API ID32E.AspA	XltEnum
[].Physiology and metabolism.API ID32E.[].URE	XltEnum
[].Physiology and metabolism.API ID32E.[].TRE	XltEnum
[].Physiology and metabolism.API ID32E.[].SOR	XltEnum
[].Physiology and metabolism.API ID32E.[].SAC	XltEnum
[].Physiology and metabolism.API ID32E.[].RP	XltEnum
[].Physiology and metabolism.API ID32E.[].RHA	XltEnum
[].Physiology and metabolism.API ID32E.[].PLE	XltEnum
[].Physiology and metabolism.API ID32E.[].ODC	XltEnum
[].Physiology and metabolism.API ID32E.[].MNT	XltEnum
[].Physiology and metabolism.API ID32E.[].MAN	XltEnum
[].Physiology and metabolism.API ID32E.[].MAL	XltEnum
[].Physiology and metabolism.API ID32E.[].LIP	XltEnum
[].Physiology and metabolism.API ID32E.[].LDC Lys	XltEnum
[].Physiology and metabolism.API ID32E.[].LARL	XltEnum
[].Physiology and metabolism.API ID32E.[].LARA	XltEnum
[].Physiology and metabolism.API ID32E.[].INO	XltEnum
[].Physiology and metabolism.API ID32E.[].IND	XltEnum
[].Physiology and metabolism.API ID32E.[].GLU	XltEnum
[].Physiology and metabolism.API ID32E.[].GAT	XltEnum
[].Physiology and metabolism.API ID32E.[].DARL	XltEnum
[].Physiology and metabolism.API ID32E.[].CEL	XltEnum
[].Physiology and metabolism.API ID32E.[].beta NAG	XltEnum
[].Physiology and metabolism.API ID32E.[].beta GUR	XltEnum
[].Physiology and metabolism.API ID32E.[].beta GLU	XltEnum
[].Physiology and metabolism.API ID32E.[].beta GAL	XltEnum
[].Physiology and metabolism.API ID32E.[].alphaMAL	XltEnum
[].Physiology and metabolism.API ID32E.[].alpha GLU	XltEnum
[].Physiology and metabolism.API ID32E.[].alpha GAL	XltEnum
[].Physiology and metabolism.API ID32E.[].ADO	XltEnum
[].Physiology and metabolism.API ID32E.[].ADH Arg	XltEnum
