path	enum
[].Culture and growth conditions.culture medium.growth	Enum_0001
[].Culture and growth conditions.culture medium.[].growth	Enum_0001
[].Culture and growth conditions.culture pH.type	Enum_0002
[].Culture and growth conditions.culture pH.ability	Enum_0002
[].Culture and growth conditions.culture pH.PH range	Enum_0002
[].Culture and growth conditions.culture pH.[].type	Enum_0003
[].Culture and growth conditions.culture pH.[].ability	Enum_0003
[].Culture and growth conditions.culture pH.[].PH range	Enum_0003
[].Culture and growth conditions.culture temp.type	Enum_0004
[].Culture and growth conditions.culture temp.growth	Enum_0004
[].Culture and growth conditions.culture temp.[].type	Enum_0005
[].Culture and growth conditions.culture temp.[].growth	Enum_0005
[].External links.literature.topic	Enum_0006
[].External links.literature.topic2	Enum_0006
[].External links.literature.[].topic	Enum_0007
[].External links.literature.[].topic2	Enum_0007
[].General.NCBI tax id.Matching level	Enum_0008
[].General.NCBI tax id.[].Matching level	Enum_0008
[].Isolation, sampling and environmental information.isolation.continent	Enum_0009
[].Isolation, sampling and environmental information.isolation source categories.Cat1	Enum_0010
[].Isolation, sampling and environmental information.isolation source categories.[].Cat1	Enum_0010
[].Isolation, sampling and environmental information.isolation.[].continent	Enum_0009
[].Morphology.cell morphology.gram stain	Enum_0011
[].Morphology.cell morphology.motility	Enum_0011
[].Morphology.cell morphology.flagellum arrangement	Enum_0011
[].Morphology.cell morphology.[].gram stain	Enum_0011
[].Morphology.cell morphology.[].motility	Enum_0011
[].Morphology.cell morphology.[].flagellum arrangement	Enum_0011
[].Morphology.colony morphology.colony shape	Enum_0012
[].Morphology.colony morphology.type of hemolysis	Enum_0012
[].Morphology.colony morphology.[].type of hemolysis	Enum_0013
[].Morphology.multicellular morphology.forms multicellular complex	Enum_0014
[].Morphology.multicellular morphology.complex size	Enum_0014
[].Morphology.multicellular morphology.[].forms multicellular complex	Enum_0015
[].Morphology.multicellular morphology.[].complex size	Enum_0015
[].Morphology.pigmentation.production	Enum_0001
[].Morphology.pigmentation.[].production	Enum_0001
[].Name and taxonomic classification.type strain	Enum_0016
[].Name and taxonomic classification.domain	Enum_0016
[].Name and taxonomic classification.LPSN.domain	Enum_0017
[].Name and taxonomic classification.LPSN.description	Enum_0017
[].Physiology and metabolism.API 20A.XYL	Enum_0018
[].Physiology and metabolism.API 20A.URE	Enum_0018
[].Physiology and metabolism.API 20A.TRE	Enum_0018
[].Physiology and metabolism.API 20A.SOR	Enum_0018
[].Physiology and metabolism.API 20A.SAL	Enum_0018
[].Physiology and metabolism.API 20A.SAC	Enum_0018
[].Physiology and metabolism.API 20A.RHA	Enum_0018
[].Physiology and metabolism.API 20A.RAF	Enum_0018
[].Physiology and metabolism.API 20A.MNE	Enum_0018
[].Physiology and metabolism.API 20A.MLZ	Enum_0018
[].Physiology and metabolism.API 20A.MAN	Enum_0018
[].Physiology and metabolism.API 20A.MAL	Enum_0018
[].Physiology and metabolism.API 20A.LAC	Enum_0018
[].Physiology and metabolism.API 20A.GLY	Enum_0018
[].Physiology and metabolism.API 20A.GLU	Enum_0018
[].Physiology and metabolism.API 20A.GEL	Enum_0018
[].Physiology and metabolism.API 20A.CEL	Enum_0018
[].Physiology and metabolism.API 20A.ARA	Enum_0018
[].Physiology and metabolism.API 20A.ESC	Enum_0018
[].Physiology and metabolism.API 20A.IND	Enum_0018
[].Physiology and metabolism.API 20A.CAT	Enum_0018
[].Physiology and metabolism.API 20A.GRAM	Enum_0018
[].Physiology and metabolism.API 20A.SPOR	Enum_0018
[].Physiology and metabolism.API 20A.COCC	Enum_0018
[].Physiology and metabolism.API 20A.[].XYL	Enum_0018
[].Physiology and metabolism.API 20A.[].URE	Enum_0018
[].Physiology and metabolism.API 20A.[].TRE	Enum_0018
[].Physiology and metabolism.API 20A.[].SOR	Enum_0018
[].Physiology and metabolism.API 20A.[].SAL	Enum_0018
[].Physiology and metabolism.API 20A.[].SAC	Enum_0018
[].Physiology and metabolism.API 20A.[].RHA	Enum_0018
[].Physiology and metabolism.API 20A.[].RAF	Enum_0018
[].Physiology and metabolism.API 20A.[].MNE	Enum_0018
[].Physiology and metabolism.API 20A.[].MLZ	Enum_0018
[].Physiology and metabolism.API 20A.[].MAN	Enum_0018
[].Physiology and metabolism.API 20A.[].MAL	Enum_0018
[].Physiology and metabolism.API 20A.[].LAC	Enum_0018
[].Physiology and metabolism.API 20A.[].GLY	Enum_0018
[].Physiology and metabolism.API 20A.[].GLU	Enum_0018
[].Physiology and metabolism.API 20A.[].GEL	Enum_0018
[].Physiology and metabolism.API 20A.[].CEL	Enum_0018
[].Physiology and metabolism.API 20A.[].ARA	Enum_0018
[].Physiology and metabolism.API 20A.[].ESC	Enum_0018
[].Physiology and metabolism.API 20A.[].IND	Enum_0018
[].Physiology and metabolism.API 20A.[].CAT	Enum_0018
[].Physiology and metabolism.API 20A.[].COCC	Enum_0018
[].Physiology and metabolism.API 20A.[].GRAM	Enum_0018
[].Physiology and metabolism.API 20A.[].SPOR	Enum_0018
[].Physiology and metabolism.API 20E.URE	Enum_0018
[].Physiology and metabolism.API 20E.H2S	Enum_0018
[].Physiology and metabolism.API 20E.ODC	Enum_0018
[].Physiology and metabolism.API 20E.CIT	Enum_0018
[].Physiology and metabolism.API 20E.TDA Trp	Enum_0018
[].Physiology and metabolism.API 20E.ONPG	Enum_0018
[].Physiology and metabolism.API 20E.LDC Lys	Enum_0018
[].Physiology and metabolism.API 20E.IND	Enum_0018
[].Physiology and metabolism.API 20E.ADH Arg	Enum_0018
[].Physiology and metabolism.API 20E.GEL	Enum_0018
[].Physiology and metabolism.API 20E.VP	Enum_0018
[].Physiology and metabolism.API 20E.GLU	Enum_0018
[].Physiology and metabolism.API 20E.SAC	Enum_0018
[].Physiology and metabolism.API 20E.MEL	Enum_0018
[].Physiology and metabolism.API 20E.Sor	Enum_0018
[].Physiology and metabolism.API 20E.RHA	Enum_0018
[].Physiology and metabolism.API 20E.INO	Enum_0018
[].Physiology and metabolism.API 20E.MAN	Enum_0018
[].Physiology and metabolism.API 20E.ARA	Enum_0018
[].Physiology and metabolism.API 20E.AMY	Enum_0018
[].Physiology and metabolism.API 20E.OX	Enum_0018
[].Physiology and metabolism.API 20E.NO2	Enum_0018
[].Physiology and metabolism.API 20E.N2	Enum_0018
[].Physiology and metabolism.API 20E.MAC	Enum_0018
[].Physiology and metabolism.API 20E.OF-O	Enum_0018
[].Physiology and metabolism.API 20E.OF-F	Enum_0018
[].Physiology and metabolism.API 20E.MOB	Enum_0018
[].Physiology and metabolism.API 20E.[].ONPG	Enum_0018
[].Physiology and metabolism.API 20E.[].URE	Enum_0018
[].Physiology and metabolism.API 20E.[].ODC	Enum_0018
[].Physiology and metabolism.API 20E.[].LDC Lys	Enum_0018
[].Physiology and metabolism.API 20E.[].H2S	Enum_0018
[].Physiology and metabolism.API 20E.[].GEL	Enum_0018
